age_17_19,age_20_24,age_25_34,age_35_44,age_45_54,age_55_64,gradeEquiv,wrat_total
below_45,below_45,below_45,below_45,below_45,below_45,preschool,0
below_45,below_45,below_45,below_45,below_45,below_45,preschool,1
below_45,below_45,below_45,below_45,below_45,below_45,preschool,2
below_45,below_45,below_45,below_45,below_45,below_45,preschool,3
below_45,below_45,below_45,below_45,below_45,below_45,preschool,4
below_45,below_45,below_45,below_45,below_45,below_45,preschool,5
below_45,below_45,below_45,below_45,below_45,below_45,preschool,6
below_45,below_45,below_45,below_45,below_45,below_45,preschool,7
below_45,below_45,below_45,below_45,below_45,below_45,preschool,8
below_45,below_45,below_45,below_45,below_45,below_45,preschool,9
below_45,below_45,below_45,below_45,below_45,below_45,preschool,10
below_45,below_45,below_45,below_45,below_45,below_45,preschool,11
below_45,below_45,below_45,below_45,below_45,below_45,preschool,12
below_45,below_45,below_45,below_45,below_45,below_45,k,13
below_45,below_45,below_45,below_45,below_45,below_45,k,14
below_45,below_45,below_45,below_45,below_45,below_45,k,15
below_45,below_45,below_45,below_45,below_45,below_45,k,16
below_45,below_45,below_45,below_45,below_45,below_45,k,17
below_45,below_45,below_45,below_45,below_45,below_45,k,18
below_45,below_45,below_45,below_45,below_45,below_45,1,19
below_45,below_45,below_45,below_45,below_45,45,1,20
45,below_45,below_45,below_45,below_45,47,1,21
47,below_45,below_45,below_45,below_45,49,1,22
49,46,45,below_45,below_45,51,1,23
52,48,47,below_45,45,53,2,24
54,51,49,46,47,55,2,25
56,53,52,49,49,57,2,26
59,55,54,51,52,60,2,27
61,58,56,53,54,62,3,28
63,60,59,56,56,64,3,29
66,62,61,58,58,66,3,30
68,64,63,60,61,68,3,31
70,67,66,63,63,70,3,32
73,69,68,65,65,72,4,33
75,71,70,67,68,74,4,34
77,74,73,70,70,76,4,35
79,76,75,72,72,78,5,36
82,78,77,74,75,80,6,37
84,81,79,76,77,82,7,38
86,83,82,79,79,84,7,39
89,85,84,81,82,86,8,40
91,88,86,83,84,88,HS,41
93,90,89,86,86,90,HS,42
96,92,91,88,88,92,HS,43
98,94,93,90,91,94,HS,44
100,97,96,93,93,97,HS,45
103,99,98,95,95,99,HS,46
105,101,100,97,98,101,post-HS,47
107,104,103,100,100,103,post-HS,48
109,106,105,102,102,105,post-HS,49
112,108,107,104,105,107,post-HS,50
114,111,109,106,107,109,post-HS,51
116,113,112,109,109,111,post-HS,52
119,115,114,111,112,113,post-HS,53
121,118,116,113,114,115,post-HS,54
123,120,119,116,116,117,post-HS,55
126,122,121,118,118,119,post-HS,56
128,124,123,120,121,121,post-HS,57